"accounting_id","Account Number","Transaction_ID","Post date","is_debit","Transaction Amount"
"201","64400","701225","2024-01-09","1","82.7"
"202","64400","701229","2024-01-08","1","82.7"
"203","64400","701237","2024-01-05","1","730.34"
"204","64400","701244","2024-01-05","1","316.08"
"205","64400","701291","2024-01-10","1","82.7"
"206","64400","701564","2024-01-10","1","264"
"207","64400","701596","2024-01-16","1","129.1"
"208","64400","701600","2024-01-15","1","82.7"
"209","64400","701604","2024-01-13","1","82.7"
"210","64400","701608","2024-01-11","1","82.7"
"211","64400","701612","2024-01-12","1","82.7"
"212","64400","701616","2024-01-13","1","336"
"213","64400","701620","2024-01-11","1","1301.33"
"214","64400","701642","2024-01-10","1","755.53"
"215","64400","701646","2024-01-11","1","578.75"
"216","64400","701650","2024-01-11","1","809.52"
"217","64400","702681","2024-01-26","1","312"
"218","64400","702703","2024-01-24","1","920.42"
"219","64400","702726","2024-01-14","1","82.7"
"220","64400","702730","2024-01-25","1","129.1"
"221","64400","702734","2024-01-27","1","110.1"
"222","64400","702738","2024-01-26","1","129.1"
"223","64400","702804","2024-01-22","1","399.89"
"224","64400","702811","2024-01-24","1","1048.35"
"225","64400","702815","2024-01-26","1","511.89"
"226","64400","703232","2024-01-29","1","129.1"
"227","64400","703236","2024-01-28","1","110.1"
"228","64400","703240","2024-01-29","1","288"
"229","64400","703415","2024-01-29","1","906.68"
"230","64400","703422","2024-01-30","1","129.1"
"231","64400","703493","2024-01-31","1","129.1"
"232","64400","703497","2024-02-01","1","129.1"
"233","64400","703824","2024-02-05","1","129.1"
"234","64400","703832","2024-02-02","1","129.1"
"235","64400","703836","2024-02-03","1","110.1"
"236","64400","703840","2024-02-02","1","312"
"237","64400","703886","2024-01-31","1","630.68"
"238","64400","703896","2024-01-29","1","571.65"
"239","64400","703922","2024-01-21","1","110.1"
"240","64400","704703","2024-02-09","1","129.1"
"241","64400","704707","2024-02-10","1","110.1"
"242","64400","704711","2024-02-11","1","82.7"
"243","64400","704715","2024-02-08","1","129.1"
"244","64400","704719","2024-02-06","1","129.1"
"245","64400","704723","2024-02-07","1","129.1"
"246","64400","704727","2024-02-07","1","606.2"
"247","64400","704735","2024-02-05","1","422.08"
"248","64400","704762","2024-02-07","1","336"
"249","64400","704792","2024-02-07","1","1208.87"
"250","64400","704799","2024-02-03","1","656.2"
"251","64400","704806","2024-02-01","1","311.88"
"252","64400","705137","2024-02-12","1","111.2"
"253","64400","705651","2024-02-13","1","111.2"
"254","64400","705655","2024-02-14","1","111.2"
"255","64400","705659","2024-02-15","1","111.2"
"256","64400","705663","2024-02-16","1","111.2"
"257","64400","705671","2024-02-12","1","480"
"258","64400","705675","2024-02-14","1","432"
"259","64400","705687","2024-02-12","1","1261.07"
"260","64400","705694","2024-02-13","1","256.21"
"261","64400","705744","2024-02-17","1","82.7"
"262","64400","705748","2024-02-15","1","45.29"
"263","64400","705820","2024-02-09","1","319.55"
"264","64400","705827","2024-02-12","1","738.29"
"265","64400","705834","2024-02-14","1","448.48"
"266","64400","705844","2024-02-20","1","111.2"
"267","64400","705848","2024-02-19","1","111.2"
"268","64400","705852","2024-02-19","1","144"
"269","64400","706067","2024-02-21","1","111.2"
"270","64400","706071","2024-02-22","1","111.2"
"271","64400","706075","2024-02-23","1","111.2"
"272","64400","706079","2024-02-24","1","82.7"
"273","64400","706083","2024-02-25","1","82.7"
"274","64400","706087","2024-02-26","1","111.2"
"275","64400","706091","2024-02-27","1","111.2"
"276","64400","706103","2024-02-22","1","360"
"277","64400","706107","2024-02-26","1","528"
"278","64400","706182","2024-02-20","1","644.3"
"279","64400","706189","2024-02-16","1","876.52"
"280","64400","706199","2024-02-26","1","1155.89"
"281","64400","706214","2024-02-26","1","585.42"
"282","64400","706256","2024-02-28","1","111.2"
"283","64400","706296","2024-02-19","1","1765.54"
"284","64400","706306","2024-02-17","1","799.08"
"285","64400","706310","2024-02-21","1","650.03"
"286","64400","706400","2024-01-29","1","59.41"
"287","64400","706684","2024-02-29","1","1215.85"
"288","64400","706706","2024-02-28","1","360"
"289","64400","706714","2024-02-29","1","111.2"
"290","64400","706734","2024-02-24","1","1348.65"
"291","64400","706741","2024-02-23","1","736.3"
"292","64400","706754","2024-02-26","1","905.78"
"293","64400","706761","2024-02-27","1","64.75"
"294","64400","708974","2024-02-18","1","82.7"
"295","64400","708982","2024-02-22","1","10.35"
"296","64400","711882","2024-04-03","1","504"
"297","64400","711886","2024-04-03","1","211.11"
"298","64400","711893","2024-04-01","1","589.16"
"299","64400","711920","2024-04-06","1","82.5"
"300","64400","711924","2024-04-02","1","103.45"
"301","64400","711928","2024-04-05","1","103.45"
"302","64400","711932","2024-04-01","1","103.45"
"303","64400","711936","2024-04-03","1","103.45"
"304","64400","711940","2024-04-04","1","103.45"
"305","64400","712005","2024-04-06","1","1403.94"
"306","64400","712012","2024-04-04","1","378.56"
"307","64400","712016","2024-04-03","1","295.6"
"308","64400","712023","2024-04-02","1","990.59"
"309","64400","712027","2024-04-01","1","384.59"
"310","64400","712128","2024-04-02","1","975.5"
"311","64400","712584","2024-04-10","1","103.45"
"312","64400","712588","2024-04-09","1","103.45"
"313","64400","712592","2024-04-08","1","103.45"
"314","64400","712596","2024-04-11","1","103.45"
"315","64400","712627","2024-04-07","1","288"
"316","64400","712635","2024-04-09","1","72.36"
"317","64400","712639","2024-04-08","1","1622.24"
"318","64400","712753","2024-04-13","1","253.8"
"319","64400","712757","2024-04-13","1","126.75"
"320","64400","712761","2024-04-14","1","126.75"
"321","64400","712765","2024-04-12","1","126.75"
"322","64400","712769","2024-04-12","1","144"
"323","64400","712773","2024-04-11","1","672"
"324","64400","712835","2024-04-10","1","697.3"
"325","64400","712842","2024-04-09","1","1657.97"
"326","64400","712846","2024-04-08","1","1858.4"
"327","64400","713157","2024-04-18","1","126.75"
"328","64400","713161","2024-04-17","1","384"
"329","64400","713177","2024-04-15","1","126.75"
"330","64400","713181","2024-04-16","1","126.75"
"331","64400","713185","2024-04-17","1","126.75"
"332","64400","713810","2024-04-16","1","1646.9"
"333","64400","713814","2024-04-20","1","95.8"
"334","64400","713818","2024-04-19","1","126.75"
"335","64400","713822","2024-04-23","1","126.75"
"336","64400","713826","2024-04-22","1","126.75"
"337","64400","713830","2024-04-22","1","528"
