fiscal_year,fiscal_quarter,revenue,cogs,sga,cogs_sales_ratio,gross_margin,net_profit_before_tax
2021,1,0.00,735.37,25658.52,NULL,-735.37,-26393.89
2021,2,0.00,18596.22,68988.90,NULL,-18596.22,-87585.12
2021,3,8121.95,32513.89,111977.76,400.32,-24391.94,-136369.70
2021,4,88863.53,42543.95,193577.19,47.88,46319.58,-147257.61
2022,1,39603.91,26735.74,154969.04,67.51,12868.17,-142100.87
2022,2,60810.45,36738.60,163616.94,60.41,24071.85,-139545.09
2022,3,62683.79,43337.99,155650.30,69.14,19345.80,-136304.50
2022,4,71992.77,44134.84,157525.26,61.30,27857.93,-129667.33
2023,1,98597.25,54565.01,170612.54,55.34,44032.24,-126580.30
2023,2,141272.78,74998.69,190574.42,53.09,66274.09,-124300.33
2023,3,138122.46,68798.70,196759.70,49.81,69323.76,-127435.94
2023,4,149433.12,78508.02,214712.32,52.54,70925.10,-143787.22
2024,1,61425.76,83207.13,213057.97,135.46,-21781.37,-234839.34
2024,2,0.00,70164.62,26314.31,NULL,-70164.62,-96478.93
