department_id,item_id,item_name,transaction_count,total_sales,avg_price,dept_product_percentage,product_rank_in_dept
-4,20116,"Add Espresso Shot",2,-2.00,-1.00,0.02,1
-4,20119,"Oat Milk",2,-2.00,-1.00,0.02,1
-4,20374,"Pride Rainbow Donut",1,-2.00,-2.00,0.02,1
-4,20382,"Black Bean Sandwich",1,-2.00,-2.00,0.02,1
-4,20409,"Thai Tea Donut",1,-2.00,-2.00,0.02,1
-4,20370,"Promo Latte",1,-2.38,-2.38,0.02,6
-4,20114,"Hot Tea",1,-2.75,-2.75,0.03,7
-4,20186,"Happy Hour Lager",1,-3.00,-3.00,0.03,8
-4,20131,Flavor,13,-3.31,-0.25,0.03,9
-4,205,"Butter Croissant",1,-3.50,-3.50,0.03,10
-4,20350,"Chocolate Mochi Donut",1,-3.50,-3.50,0.03,10
-4,106,"White Mocha (Hot)",1,-4.75,-4.75,0.04,12
-4,20180,"Seasonal Danish",1,-4.75,-4.75,0.04,12
-4,20317,"Large Pink Drink",1,-4.75,-4.75,0.04,12
-4,20326,"Lrg Shortbread Cold Brew",1,-4.75,-4.75,0.04,12
-4,115,"Med Coffee Javalanche",1,-5.00,-5.00,0.05,16
-4,20335,"Coffee Mug",1,-5.00,-5.00,0.05,16
-4,20423,"Mulled Wine",1,-5.00,-5.00,0.05,16
-4,20228,"Merrimint White Mocha",1,-5.25,-5.25,0.05,19
-4,20331,"Choc Truffle Caramel Macchiato",1,-5.25,-5.25,0.05,19
-4,20402,"egg bagel",1,-5.50,-5.50,0.05,21
-4,20418,"Lrg Gingerbread Chai",1,-5.75,-5.75,0.05,22
-4,20209,"HH IPA",1,-6.00,-6.00,0.06,23
-4,20295,"Large Hot Tea",2,-6.50,-3.25,0.06,24
-4,2001,"Vino Verde",1,-7.50,-7.50,0.07,25
-4,20315,Blondie,2,-7.50,-3.75,0.07,25
-4,20154,"London Fog",2,-8.00,-4.00,0.08,27
-4,20147,Chips,1,-8.25,-8.25,0.08,28
-4,20314,"Large Bluebeary Lemonade",1,-8.75,-8.75,0.08,29
-4,20336,"Large London Fog",2,-9.00,-4.50,0.08,30
-4,20364,"Mochi Brownie Muffin",2,-9.00,-4.50,0.08,30
-4,20401,Pumperthingel,2,-9.00,-4.50,0.08,30
