department_id,fy2023_sales,fy2024_target,fy2025_target,fy2024_required_growth,fy2025_required_growth,q1_percentage,q2_percentage,q3_percentage,q4_percentage,item_count,max_price,avg_price
2,129303.90,161629.88,202037.34,32325.98,40407.47,20.5,24.7,25.9,28.9,34,37.50,4.50
1,69783.75,87229.69,109037.11,17445.94,21807.42,17.5,29.7,30.3,22.5,25,34.50,3.87
21,60208.75,69240.06,79626.07,9031.31,10386.01,15.1,29.7,25.3,29.9,27,15.75,4.91
5,59629.00,71554.80,85865.76,11925.80,14310.96,20.7,24.3,27.9,27.2,9,63.00,8.69
13,56663.38,67996.06,81595.27,11332.68,13599.21,16.4,29.4,27.5,26.7,6,36.75,4.81
14,39427.50,45341.63,52142.87,5914.13,6801.24,20.9,29.0,24.1,26.1,4,23.00,4.76
20,36073.75,41484.81,47707.53,5411.06,6222.72,9.9,29.2,31.6,29.3,19,862.50,4.78
3,17187.00,19765.05,22729.81,2578.05,2964.76,25.2,33.4,23.1,18.3,7,18.75,3.67
17,13216.00,15198.40,17478.16,1982.40,2279.76,30.0,25.1,21.1,23.8,10,15.00,4.08
6,12721.00,14629.15,16823.52,1908.15,2194.37,32.7,29.5,15.4,22.4,10,30.00,6.13
22,11297.75,12992.41,14941.27,1694.66,1948.86,0.0,0.0,29.8,70.2,13,13.50,3.38
8,9136.70,10507.21,12083.29,1370.51,1576.08,22.7,26.6,19.7,30.9,11,18.00,2.86
7,3322.00,3820.30,4393.35,498.30,573.05,35.1,26.9,10.6,27.4,13,45.00,6.63
15,2316.75,2664.26,3063.90,347.51,399.64,29.7,41.8,28.5,0.0,9,11.50,4.52
18,2239.00,2574.85,2961.08,335.85,386.23,30.8,30.6,27.5,11.1,16,108.00,3.93
19,1801.00,2071.15,2381.82,270.15,310.67,21.0,31.6,17.2,30.2,2,8.00,3.91
4,951.75,1094.51,1258.69,142.76,164.18,12.1,19.3,34.4,34.2,8,6.00,0.88
-4,-6377.83,-7334.50,-8434.68,-956.67,-1100.18,8.4,30.9,18.8,41.9,114,7.25,-7.13
